hwinfo,Execution,"[85751.797159] parport_pc parport_pc.956: Unable to set coherent dma mask: disabling DMA
[85751.797392] parport_pc parport_pc.888: Unable to set coherent dma mask: disabling DMA
[85751.797569] parport_pc parport_pc.632: Unable to set coherent dma mask: disabling DMA
[85752.205985] parport_pc parport_pc.956: Unable to set coherent dma mask: disabling DMA
[85752.206114] parport_pc parport_pc.888: Unable to set coherent dma mask: disabling DMA
[85752.206234] parport_pc parport_pc.632: Unable to set coherent dma mask: disabling DMA",Incompatible Architecture Instructions,issue-10929.md
open-build-service,frontend,"DataTables warning: table id=reviews_in_table - Ajax error. ... ActionController::RoutingError (No route matches [GET] ""/users/<hidden>/requests""): ...","['missing_routes', 'frontend_ajax_error']",issue-10951.md
OBS Server,User Interface,Error 404 Not Found when trying to remove a user with a dot from a group in the UI.,Bug,issue-10955.md
TMP_op,fetching remote repository state,interconnect error: connect to api.opensuse.org:443: Network is unreachable,network_issue,issue-10956.md
None,None,None,None,issue-10959.md
obs-server,bundle_gems source service,`bundle_gems` service fails to install yanked `mimemagic` version,missing_dependencies,issue-10965.md
None,API Trigger Rebuild,"Error message received when triggering rebuild: <status code=""create_token/rebuild_not_authorized"">
  <summary>You are not authorized to create this Token/rebuild.</summary>
</status>",Authorization Issue,issue-11035.md
Text,Editing package description,Wrong information prefilled in the form fields when editing the package description.,"['Bug', 'Frontend']",issue-11055.md
open-build-service,Documentation Validation,"The 'cicount' attribute in 'link.xml' should be either 'add', 'copy', 'local', or not present at all, but not a number.",InvalidConfiguration,issue-11067.md
api,test_execution,"Failure/Error: Configuration.first.update(opts)

NoMethodError:
  undefined method `update' for nil:NilClass
# ./app/models/configuration.rb:73:in `update'
# ./spec/support/database_cleaner.rb:41:in `block (2 levels) in <top (required)>'","['missing_database_entry', 'test_suite_failure']",issue-11076.md
src/api - 2.9 - Bundler,Depfu Error,"We're getting errors with ""src/api - 2.9 - Bundler"" and have given up after trying several times. In most cases that means something is wrong with your current Bundler setup and we can't fix it automatically.","missing dependencies, incompatible architecture instructions",issue-11086.md
src/api - 2.9 - Bundler,Depfu Error,"We're getting errors with ""src/api - 2.9 - Bundler"" and have given up after trying several times. In most cases that means something is wrong with your current Bundler setup and we can't fix it automatically.","missing dependencies, incompatible architecture instructions",issue-11088.md
tealdeer,Authorization,Authorization error when clicking 'Files Changed' link as an anonymous user.,['Authorization'],issue-11125.md
ding,branching_process,The URL is not copied when branching the package.,Incorrect_data_copy,issue-11127.md
"libcfile, libuna",Rendering of Markdown,Multiline markdown with three backticks is wrongly rendered.,"Bug, Frontend",issue-11154.md
None,None,The diff in SR is broken when diff is > 999 lines on chrome/chromium. Expected Result: The diff should not break when number of lines is > 999. How to Reproduce: 1. Go to https://build.opensuse.org/request/show/894192 with chrome/chromium 2. See the problem.,"Bug, Frontend",issue-11168.md
rubygem-redcarpet,search_issue,Search does not return results for openSUSE:Leap:15.3 despite the package existing in the project.,search_functionality,issue-11191.md
ungoogled-chromium-fedora,Worker Assignment,no compliant workers,Missing Compliant Workers,issue-11205.md
hello_world,SCM integration,The package 'home:vpereirabr:PR-3/hello_world' doesn't get updated when a new MR is created with the same ID.,Bug,issue-11209.md
libzmq,SCM webhook processing,"Oooops, something went terribly wrong, our application crashed",SCM integration failure,issue-11238.md
None,Integration setup,no implicit conversion of Array into String,Bug,issue-11240.md
cobbler,build_time_source_services,"[   41s] Traceback (most recent call last):\n[   41s]   File ""/usr/lib/obs/service/tar"", line 30, in <module>\n[   41s]     main()\n[   41s]   File ""/usr/lib/obs/service/tar"", line 26, in main\n[   41s]     TarSCM.run()\n[   41s]   File ""/usr/lib/obs/service/TarSCM/__init__.py"", line 39, in run\n[   41s]     task_list.process_list()\n[   41s]   File ""/usr/lib/obs/service/TarSCM/tasks.py"", line 118, in process_list\n[   41s]     self.process_single_task(task)\n[   41s]   File ""/usr/lib/obs/service/TarSCM/tasks.py"", line 173, in process_single_task\n[   41s]     self.args = self.check_for_branch_request(args)\n[   41s]   File ""/usr/lib/obs/service/TarSCM/tasks.py"", line 156, in check_for_branch_request\n[   41s]     if j['object_kind'] == 'merge_request':\n[   41s] KeyError: 'object_kind'\n[   41s] service run failed for service 'tar'",incompatible_service_version,issue-11243.md
obs-server,,,,issue-11255.md
obsworker,service_start,/usr/sbin/obsworker: line 22: /etc/rc.status: No such file or directory,missing_dependencies,issue-11257.md
None,None,None,None,issue-11258.md
cobbler,trigger_workflow#create,We couldn't branch your package,['Branching Failure'],issue-11259.md
None,Frontend,"nil is invalid as a repository identifier. Use the user/repo (String) format, or the repository ID (Integer), or a hash containing :repo and :user keys.",Bug,issue-11262.md
open-build-service,frontend,undefined method `[]' for nil:NilClass,Bug,issue-11278.md
None,trigger_workflow#create,(&lt;unknown&gt;): mapping values are not allowed in this context at line 4 column 38,Bug,issue-11279.md
openSUSE/open-build-service,frontend,Can't find request undefined,Bug,issue-11289.md
at-spi2-core,Access Restriction Bypass,HTTP/2 200 status: 200 OK,Authentication Bypass,issue-11300.md
at-spi2-core,Fetching binary package details,There has been an internal error. Please try again.,None,issue-11301.md
thinking-sphinx,,,,issue-11303.md
None,None,"Requiring user, but found nobody",Bug,issue-11305.md
libpython3.7-minimal,installing,"[57/259] installing libpython3.7-minimal-3.7.3-2+deb10u3
dpkg: libpython3.7-minimal:amd64: dependency problems, but configuring anyway as you requested:
libpython3.7-minimal:amd64 depends on libssl1.1 (>= 1.1.1); however:
Package libssl1.1 is not installed.",missing_dependencies,issue-11308.md
hello_world,Trigger Workflow,POST https://api.github.com/repos/USERNAME/hello_world/statuses/786dab512aca55bc0c4d4a62f1c7e7cf25206048: 401 - Bad credentials,Authentication Failure,issue-11326.md
open-build-service,API Exception Handling,Mixing exception handling patterns leads to confusion in error messages and status codes.,"['Refactoring', 'Exception Handling']",issue-11356.md
perl-libwww-perl,module_activation,"Multiple modules with the same name and version but different contexts exist, leading to repository being marked as 'broken'.",missing_dependencies,issue-11360.md
None,None,None,None,issue-11381.md
None,runtime,"undefined method `positive?' for ""0"":String",type_error,issue-11403.md
open-build-service,API request to create commit status,POST https://api.github.com/repos/openSUSE/open-build-service/statuses/b9ab04955829fef2a47a59b010e0d4561aba5616: 404 - Not Found,Insufficient Permissions,issue-11408.md
None,None,None,None,issue-11411.md
python-django-allauth,package#show,undefined method `tos_url' for #<Class:0x000055a8d784fac8>,Bug,issue-11424.md
None,ConfigurationWriteToBackendJob,"<status code=""400"">
  <summary>unknown element 'tos_url'</summary>
</status>",MissingElement,issue-11436.md
None,API Request,POST https://api.github.com/repos/vpereira/hello_world/statuses/5ca5adbea86f15e42a708deef2189f8b06551d68: 401 - Bad credentials,Authentication Failure,issue-11438.md
cross-epiphany-gcc11-bootstrap,None,None,None,issue-11443.md
None,Frontend,DataTables warning: table id=user-table - Ajax error.,['Bug'],issue-11470.md
obs-api,webhook_processing,"403 Forbidden - No valid token found ""Authorization"" header",missing_token_header,issue-11481.md
gpg2,Key Migration and Compatibility,"gpg: Note: third-party key signatures using the SHA1 algorithm are rejected
gpg: signing failed: Invalid digest algorithm
gpg: signing failed: Invalid digest algorithm",Incompatible Algorithm,issue-11485.md
None,None,None,None,issue-11499.md
urbackup-server,repository_metadata,Rhel7 repo metadata is pointing to version 3.1 instead of 3.2.,missing_version_in_metadata,issue-11505.md
pyzmq,None,None,None,issue-11522.md
franz,,,,issue-11524.md
open-build-service,trigger#create,undefined method `with_indifferent_access' for nil:NilClass,Bug,issue-11535.md
digikam,dependency_resolution,"nothing provides libopencv-dev >= 4.5.3~, (got version 4.5.1+dfsg-5)",missing_dependencies,issue-11564.md
obs-server,WebUI Access,"[WARN] DEPRECATION WARNING: Dangerous query method... (method whose arguments are used as raw SQL) called with non-attribute argument(s): ""LOWER(name"")... method=GET path=/project/show/backend-develop format=html controller=Webui::ProjectController action=show status=302 duration=163.70 view=0.00 db=10.88 location=https://buildwebgui.test.open-xchange.com/project params={""project"":""backend-develop""}... The page isn’t redirecting properly browser warning.","['Improper Redirect', 'Deprecation Warning', 'Access Control Issue']",issue-11565.md
qemu,trigger_rebuild,"The webui takes the command, but instead of triggering a rebuild of the :testsuite flavor, OBS triggers a rebuild of the """" flavor.",UnexpectedBehavior,issue-11598.md
open-build-service,Testing,uninitialized constant Suse::ValidationError,Test Suite Failure,issue-11609.md
None,None,None,None,issue-11618.md
None,Test Execution,ThinkingSphinx::Search::StaleIdsException: Record IDs found by Sphinx but not by ActiveRecord : https://freelancing-gods.com/thinking-sphinx/v5/common_issues.html#record-ids,Integration Issue,issue-11620.md
None,None,None,None,issue-11626.md
None,None,None,None,issue-11627.md
None,None,undefined method `start_with?&#39; for nil:NilClass,None,issue-11629.md
OBS,Configuration Management,i586 and armv7l architectures keep reappearing after being unchecked in the web UI and API.,['Bug'],issue-11660.md
frontend-base,submit request while services are running,"Server returned an error: HTTP Error 400: service in progress
service in progress",missing dependencies,issue-11683.md
None,None,None,None,issue-11695.md
rubygem-spring,None,None,None,issue-11712.md
None,None,None,None,issue-11743.md
None,repositories#change_flag,Validation failed: Flags Duplicated flags,Bug,issue-11757.md
None,Controller Rendering,"No route matches {:action=>""show"", :controller=>""webui/project"", :project=>nil}, possible unmatched constraints: [:project]",Routing Error,issue-11771.md
None,None,None,None,issue-11773.md
None,None,None,None,issue-11796.md
octokit,repository_initialization,""""" is invalid as a repository identifier. Use the user/repo (String) format, or the repository ID (Integer), or a hash containing :repo and :user keys.",invalid_input,issue-11818.md
None,None,None,None,issue-11853.md
open-build-service,workflow_execution,"The link_package step uses ':' between org and repo, the configure step uses '-'. This causes a mismatch and prevents the two steps from being used together.",ConfigurationError,issue-11854.md
None,trigger_workflow#create,no implicit conversion of nil into String,Bug,issue-11861.md
hello_world,branch_package_step,A linked package is created via the push event even though no event filtering is applied.,Unexpected_Behavior,issue-11869.md
open-build-service,make apidocs,"bundler: command not found: ../restility/bin/rest_doc
Install missing gem executables with `bundle install`",missing_dependencies,issue-11883.md
None,None,None,None,issue-11894.md
open-build-service,frontend-rendering,The 'Mark all as Read/Unread' button does not appear when there are more than MAX_PER_PAGE notifications (300).,"['Bug', 'Notifications']",issue-11902.md
obs-server,installation,Problem: nothing provides 'bsdtar' needed by the to be installed obs-worker-2.10.11-78.3.noarch,missing_dependencies,issue-11910.md
standard,build,package build was not possible: no compliant workers (constraints mismatch hint: linux:version),missing_dependencies,issue-11967.md
os-autoinst,SCM/CI workflow configuration,Multibuild checks not reported for all platforms.,CI reporting issue,issue-11975.md
None,None,None,None,issue-12007.md
python-factory_boy,local_build,Error: hdrmd5 mismatch for /var/tmp/osbuild-packagecache/devel:languages:python/openSUSE_Tumbleweed/noarch/python39-ordered-set-4.0.2-17.2.noarch.rpm: 48aabe9718ecab003fdfbd2f9046f5da != 6b6d2ed28f4d734762d22a750afa1624,missing_dependencies,issue-12034.md
None,dependency_resolution,"Bundler Error: Your bundle requires gems that depend on each other, creating an infinite loop. Please remove either gem 'faraday' or gem 'faraday-net_http' and try again.

Your bundle is locked to mimemagic (0.3.6), but that version could not be found in any of the sources listed in your Gemfile.","['missing_dependencies', 'incompatible_dependencies']",issue-12050.md
None,None,None,None,issue-12069.md
None,frontend_operation,A project with the name foo:bar does not exist. Please update the repository path elements.,Bug,issue-12073.md
suse-packagehub-15-x86_64,key_expiry,Key '65176565' has expired on 2021-12-10.,missing_dependencies,issue-12097.md
multipath-tools,repository_configuration,The configured repositories in the created OBS project do not match the specified input in workflows.yml.,misconfigured_repositories,issue-12103.md
None,workflow_runs#index,undefined method `humanize' for nil:NilClass,missing_method,issue-12105.md
None,trigger_workflow#create,undefined method `start_with?' for nil:NilClass,Bug,issue-12122.md
open-build-service,database_deadlock,Deadlocks on groups table due to cache invalidation during database writes.,database_inconsistency,issue-12125.md
None,None,None,None,issue-12143.md
None,Controller Processing,"Repository(#47445526161180) expected, got nil which is an instance of NilClass(#47445476007460)",NilValueError,issue-12147.md
